"Sentence";"Relevant_Context";"Response_Cohere";"Latency_Cohere";"Response_Haiku";"Latency_Haiku"
"Prosečna neto plata za celu 2024. godinu bila je 98.143 dinara.";"[Izvor: ekonomija.txt]
Narodna banka Srbije (NBS) je takođe u julu 2024. kupila dodatnih pet tona zlata. Prosečna neto zarada za celu 2024. godinu iznosila je 98.143 dinara, dok je u samom Beogradu prosek bio 124.010 dinara. Podaci za pojedinačne mesece pokazuju da je prosečna neto zarada za septembar 2024. bila 96.115 dinara, za oktobar 98.538 dinara, a za novembar 2024. godine 100.738 dinara.
---
[Izvor: ekonomija.txt]
Podaci za pojedinačne mesece pokazuju da je prosečna neto zarada za septembar 2024. bila 96.115 dinara, za oktobar 98.538 dinara, a za novembar 2024. godine 100.738 dinara. Na polju infrastrukture, Vlada Srbije je 16. jula 2024. odobrila nastavak projekta eksploatacije litijuma u dolini Jadra. Izgradnja Nacionalnog stadiona u Surčinu, kao deo projekta EXPO 2027, simbolično je započeta 1. maja 2024. godine.
---
[Izvor: metro.txt]
Moramo da promenimo lice naše zemlje do prvog decembra 2026. Naša zemlja mora da izgleda drugačije, tada će nam prosečna plata biti preko 1.100 evra. Za samo tri godine će nam prosečna plata biti kao sada u Hrvatskoj 1.150 evra, a zaostajali smo 20 godina za njima.";"Konzistentno.

Prosečna neto plata za celu 2024. godinu iznosila je 98.143 dinara.";"4.011050701141357";"Konzistentno

Obrazloženje:
Prema datom kontekstu, prosečna neto zarada za celu 2024. godinu iznosila je 98.143 dinara, što je u skladu sa navedenom tvrdnjom.";"1.3176872730255127"
"Prosečna neto zarada za novembar 2024. iznosila je 100.738 dinara.";"[Izvor: ekonomija.txt]
Narodna banka Srbije (NBS) je takođe u julu 2024. kupila dodatnih pet tona zlata. Prosečna neto zarada za celu 2024. godinu iznosila je 98.143 dinara, dok je u samom Beogradu prosek bio 124.010 dinara. Podaci za pojedinačne mesece pokazuju da je prosečna neto zarada za septembar 2024. bila 96.115 dinara, za oktobar 98.538 dinara, a za novembar 2024. godine 100.738 dinara.
---
[Izvor: ekonomija.txt]
Podaci za pojedinačne mesece pokazuju da je prosečna neto zarada za septembar 2024. bila 96.115 dinara, za oktobar 98.538 dinara, a za novembar 2024. godine 100.738 dinara. Na polju infrastrukture, Vlada Srbije je 16. jula 2024. odobrila nastavak projekta eksploatacije litijuma u dolini Jadra. Izgradnja Nacionalnog stadiona u Surčinu, kao deo projekta EXPO 2027, simbolično je započeta 1. maja 2024. godine.
---
[Izvor: ekonomija.txt]
Javni dug je na kraju 2024. ostao stabilan, na nivou od 46.5% BDP-a. Inflacija nastavlja da usporava i kreće se ispod gornje granice cilja Narodne banke Srbije od 4.5%. Narodna banka Srbije (NBS) je takođe u julu 2024. kupila dodatnih pet tona zlata.";"Konzistentno.

Prosečna neto zarada za novembar 2024. godine iznosila je 100.738 dinara.";"6.391716241836548";"Konzistentno

Obrazloženje:
Prema kontekstu iz ekonomija.txt, podaci za pojedinačne mesece pokazuju da je prosečna neto zarada za novembar 2024. godine bila 100.738 dinara. Ova informacija je direktno navedena u tekstu, što znači da je tvrdnja tačna i konzistentna sa priloženim kontekstom.";"1.3054187297821045"
"MMF prognozira rast ekonomije Srbije od 5% u 2025. godini.";"[Izvor: ekonomija.txt]
Prema podacima Republičkog zavoda za statistiku, realni rast BDP-a u 2024. godini iznosio je 3.9%. Međunarodni monetarni fond (MMF) prognozira dalji rast za Srbiju od 4.1% u 2025. godini. Agencija Standard & Poor's dodelila je Srbiji investicioni rejting 'BBB' u 2024. godini, što je rezultat stabilnog ekonomskog okruženja.
---
[Izvor: govor.txt]
Ja ću izneti nekoliko danas važnih procena za ozbiljnu diskusiju i za ozbiljnost izveštaja koji podnosimo. Po procenama Ujedinjenih nacija World population prospects iz 2015. godine, Srbija će 2050. imati 5,5 miliona stanovnika, a 2100. godine, ukoliko se isti trendovi nastave, svega 3,5 miliona stanovnika. Ako izračunamo broj stanovnika do 2050. i 2100. godine, po postojećim stopama priraštaja Alabanaca i Srba, dolazimo do sledećih podataka za Balkan.
---
[Izvor: ekonomija.txt]
Agencija Standard & Poor's dodelila je Srbiji investicioni rejting 'BBB' u 2024. godini, što je rezultat stabilnog ekonomskog okruženja. Zabeležen je rekordan priliv direktnih stranih investicija (FDI) od 5.1 milijardu evra u 2024. godini. Javni dug je na kraju 2024. ostao stabilan, na nivou od 46.5% BDP-a.";"Kontradiktorno

Međunarodni monetarni fond (MMF) prognozira rast ekonomije Srbije od 4.1% u 2025. godini.";"5.556493520736694";"Error: 500, {""error"":{""message"":""Internal Server Error"",""code"":500}}";"6.264341592788696"
"Izgradnja Nacionalnog stadiona u Surčinu počela je prvog maja 2024.";"[Izvor: ekonomija.txt]
Izgradnja Nacionalnog stadiona u Surčinu, kao deo projekta EXPO 2027, simbolično je započeta 1. maja 2024. godine. Nastavljaju se radovi na Moravskom koridoru i auto-putu ""Miloš Veliki"" do Požege. Brza pruga Novi Sad-Subotica je u fazi statičkih i dinamičkih testiranja i očekuje se puštanje u saobraćaj pre kraja godine.
---
[Izvor: ekonomija.txt]
Podaci za pojedinačne mesece pokazuju da je prosečna neto zarada za septembar 2024. bila 96.115 dinara, za oktobar 98.538 dinara, a za novembar 2024. godine 100.738 dinara. Na polju infrastrukture, Vlada Srbije je 16. jula 2024. odobrila nastavak projekta eksploatacije litijuma u dolini Jadra. Izgradnja Nacionalnog stadiona u Surčinu, kao deo projekta EXPO 2027, simbolično je započeta 1. maja 2024. godine.";"Konzistentno. Izgradnja Nacionalnog stadiona u Surčinu je simbolično počela 1. maja 2024.";"4.3556318283081055";"Konzistentno

Obrazloženje:
Prema priloženom kontekstu, navedena tvrdnja je tačna. U oba izvora ekonomija.txt navodi se da je ""Izgradnja Nacionalnog stadiona u Surčinu, kao deo projekta EXPO 2027, simbolično je započeta 1. maja 2024. godine.""";"1.1812770366668701"
"Projekat eksploatacije litijuma u dolini Jadra je trajno zaustavljen.";"Nema relevantnih podataka.";"Ne znam.";"1.4926373958587646";"Ne znam. Obrazloženje: Nema relevantnih podataka.";"0.5954287052154541"
"Srbija je u 2024. godini privukla 10 milijardi evra stranih direktnih investicija.";"[Izvor: ekonomija.txt]
Agencija Standard & Poor's dodelila je Srbiji investicioni rejting 'BBB' u 2024. godini, što je rezultat stabilnog ekonomskog okruženja. Zabeležen je rekordan priliv direktnih stranih investicija (FDI) od 5.1 milijardu evra u 2024. godini. Javni dug je na kraju 2024. ostao stabilan, na nivou od 46.5% BDP-a.
---
[Izvor: ekonomija.txt]
Prema podacima Republičkog zavoda za statistiku, realni rast BDP-a u 2024. godini iznosio je 3.9%. Međunarodni monetarni fond (MMF) prognozira dalji rast za Srbiju od 4.1% u 2025. godini. Agencija Standard & Poor's dodelila je Srbiji investicioni rejting 'BBB' u 2024. godini, što je rezultat stabilnog ekonomskog okruženja.
---
[Izvor: ekonomija.txt]
Podaci za pojedinačne mesece pokazuju da je prosečna neto zarada za septembar 2024. bila 96.115 dinara, za oktobar 98.538 dinara, a za novembar 2024. godine 100.738 dinara. Na polju infrastrukture, Vlada Srbije je 16. jula 2024. odobrila nastavak projekta eksploatacije litijuma u dolini Jadra. Izgradnja Nacionalnog stadiona u Surčinu, kao deo projekta EXPO 2027, simbolično je započeta 1. maja 2024. godine.";"Kontradiktorno.

Srbija je u 2024. godini privukla 5.1 milijardi evra stranih direktnih investicija.";"5.085251331329346";"Kontradiktorno.

Prema priloženom kontekstu, Srbija je u 2024. godini zabeležila priliv direktnih stranih investicija (FDI) od 5.1 milijardu evra, a ne 10 milijardi evra kako je navedeno u tvrdnji. Podaci iz ekonomije.txt jasno ukazuju da je ostvaren rekordni priliv FDI od 5.1 milijardu evra, a ne 10 milijardi evra.";"1.5820469856262207"
"Beograd na vodi će nakon proširenja imati tri nove osnovne škole.";"[Izvor: ekonomija.txt]
Projekat ""Beograd na vodi"" ulazi u novu fazu proširenja na delove četiri opštine (Savski venac, Stari Grad, Novi Beograd i Cukarica), čime će se površina plana povećati na 328.96 hektara. Planirano je dodavanje 11 novih vrtića i tri nove osnovne škole. Hale 2 i 3 Beogradskog sajma biće transformisane, dok Hala 1, koja ostaje u državnom vlasništvu, neće biti srušena.
---
[Izvor: ekonomija.txt]
Brza pruga Novi Sad-Subotica je u fazi statičkih i dinamičkih testiranja i očekuje se puštanje u saobraćaj pre kraja godine. U Vojvodini se grade i Dunavski koridor, Fruškogorski koridor i brza saobraćajnica ""Osmeh Srbije"". Projekat ""Beograd na vodi"" ulazi u novu fazu proširenja na delove četiri opštine (Savski venac, Stari Grad, Novi Beograd i Cukarica), čime će se površina plana povećati na 328.96 hektara.";"Konzistentno. Projekat ""Beograd na vodi"" uključuje proširenje na četiri opštine (Savski venac, Stari Grad, Novi Beograd i Cukarica), povećanje površine plana na 328.96 hektara, <co:";"7.783576011657715";"Konzistentno

Obrazloženje:
Prema kontekstu, u okviru projekta ""Beograd na vodi"" planirano je dodavanje 11 novih vrtića i tri nove osnovne škole. Ova tvrdnja je konzistentna sa informacijama datim u kontekstu.";"1.573375940322876"
"Javni dug Srbije u 2024. bio je 46.5% BDP-a.";"[Izvor: ekonomija.txt]
Javni dug je na kraju 2024. ostao stabilan, na nivou od 46.5% BDP-a. Inflacija nastavlja da usporava i kreće se ispod gornje granice cilja Narodne banke Srbije od 4.5%. Narodna banka Srbije (NBS) je takođe u julu 2024. kupila dodatnih pet tona zlata.
---
[Izvor: ekonomija.txt]
Agencija Standard & Poor's dodelila je Srbiji investicioni rejting 'BBB' u 2024. godini, što je rezultat stabilnog ekonomskog okruženja. Zabeležen je rekordan priliv direktnih stranih investicija (FDI) od 5.1 milijardu evra u 2024. godini. Javni dug je na kraju 2024. ostao stabilan, na nivou od 46.5% BDP-a.
---
[Izvor: ekonomija.txt]
Prema podacima Republičkog zavoda za statistiku, realni rast BDP-a u 2024. godini iznosio je 3.9%. Međunarodni monetarni fond (MMF) prognozira dalji rast za Srbiju od 4.1% u 2025. godini. Agencija Standard & Poor's dodelila je Srbiji investicioni rejting 'BBB' u 2024. godini, što je rezultat stabilnog ekonomskog okruženja.";"Konzistentno.

Izjava je tačna.";"2.359560012817383";"Konzistentno

Obrazloženje:
Prema priloženom kontekstu, javni dug Srbije na kraju 2024. godine ostao je stabilan na nivou od 46.5% BDP-a. Ova informacija se ponavlja u dva od tri data izvora, što potvrđuje tačnost navedene tvrdnje.";"1.393758773803711"
"Narodna banka Srbije je prodala 5 tona zlata u 2024. godini.";"[Izvor: ekonomija.txt]
Narodna banka Srbije (NBS) je takođe u julu 2024. kupila dodatnih pet tona zlata. Prosečna neto zarada za celu 2024. godinu iznosila je 98.143 dinara, dok je u samom Beogradu prosek bio 124.010 dinara. Podaci za pojedinačne mesece pokazuju da je prosečna neto zarada za septembar 2024. bila 96.115 dinara, za oktobar 98.538 dinara, a za novembar 2024. godine 100.738 dinara.
---
[Izvor: ekonomija.txt]
Javni dug je na kraju 2024. ostao stabilan, na nivou od 46.5% BDP-a. Inflacija nastavlja da usporava i kreće se ispod gornje granice cilja Narodne banke Srbije od 4.5%. Narodna banka Srbije (NBS) je takođe u julu 2024. kupila dodatnih pet tona zlata.
---
[Izvor: ekonomija.txt]
Podaci za pojedinačne mesece pokazuju da je prosečna neto zarada za septembar 2024. bila 96.115 dinara, za oktobar 98.538 dinara, a za novembar 2024. godine 100.738 dinara. Na polju infrastrukture, Vlada Srbije je 16. jula 2024. odobrila nastavak projekta eksploatacije litijuma u dolini Jadra. Izgradnja Nacionalnog stadiona u Surčinu, kao deo projekta EXPO 2027, simbolično je započeta 1. maja 2024. godine.";"Kontradiktorno
Narodna banka Srbije je u julu 2024. godine kupila 5 tona zlata.";"4.692643404006958";"Kontradiktorno.

Prema datom kontekstu, Narodna banka Srbije je u julu 2024. godine kupila dodatnih 5 tona zlata, a ne prodala. Konkretno, u izvorima se navodi:

""Narodna banka Srbije (NBS) je takođe u julu 2024. kupila dodatnih pet tona zlata.""

Dakle, tvrdnja da je Narodna banka Srbije prodala 5 tona zlata u 2024. godini je netačna. Prema priloženom kontekstu, Narodna banka Srbije je zapravo kupila dodatnih 5 tona zlata u 2024. godini.";"3.0429768562316895"
"Brza pruga Novi Sad-Subotica je puštena u saobraćaj u januaru 2024.";"[Izvor: ekonomija.txt]
Izgradnja Nacionalnog stadiona u Surčinu, kao deo projekta EXPO 2027, simbolično je započeta 1. maja 2024. godine. Nastavljaju se radovi na Moravskom koridoru i auto-putu ""Miloš Veliki"" do Požege. Brza pruga Novi Sad-Subotica je u fazi statičkih i dinamičkih testiranja i očekuje se puštanje u saobraćaj pre kraja godine.
---
[Izvor: ekonomija.txt]
Brza pruga Novi Sad-Subotica je u fazi statičkih i dinamičkih testiranja i očekuje se puštanje u saobraćaj pre kraja godine. U Vojvodini se grade i Dunavski koridor, Fruškogorski koridor i brza saobraćajnica ""Osmeh Srbije"". Projekat ""Beograd na vodi"" ulazi u novu fazu proširenja na delove četiri opštine (Savski venac, Stari Grad, Novi Beograd i Cukarica), čime će se površina plana povećati na 328.96 hektara.
---
[Izvor: metro.txt]
Radovi brzo napreduju, ispred roka, i važno je da se 2028. godine dobije metro. Ovde se dešava istorija. Oni koji pokušavaju da zaustave Srbiju u tome neće uspeti.";"Kontradiktorno.

Brza pruga Novi Sad-Subotica je u fazi statičkih i dinamičkih testiranja i očekuje se puštanje u saobraćaj pre kraja 2024. godine.";"6.003564357757568";"Kontradiktorno

Prema kontekstu, brza pruga Novi Sad-Subotica je u fazi statičkih i dinamičkih testiranja i očekuje se puštanje u saobraćaj pre kraja godine, što znači da pruga nije puštena u saobraćaj u januaru 2024. godine, kako je navedeno u tvrdnji. Kontekst jasno ukazuje da je pruga još uvek u fazi testiranja i da se očekuje puštanje u saobraćaj pre kraja godine, a ne u januaru 2024.";"1.65574049949646"
